municipality,population
East Petpeswick,0
Eastport,0
East Port Medway,0
East Preston,0
East Pubnico,0
East Quinan,0
East River,0
East River Point,0
East River Sheet Harbour,0
East Riverside-Kinghurst,0
East River St. Marys,0
East Roman Valley,0
East Sable River,0
East Scotch Settlement,0
East Shediac,0
East Ship Harbour,0
Eastside,0
East Side of Ragged Island,0
East Side Port L'Hebert,0
East Skye Glen,0
East Slope,0
East Sooke,1500
East Springbank,0
East Sullivan Mines,0
East Tracadie,0
East Trail,0
East Tremont,0
East Uniacke,0
Eastview,0
Eastview,0
Eastview,0
Eastview,0
Eastview,0
East Village,0
Eastville,0
East Wallace,0
East Walton,0
Eastway Gardens,0
East Wellington,1444
East Wentworth,0
Eastwood,0
East York,0
Eaton Corner,0
Eatonia,0
Eatonville,0
Eau Claire,0
Ebbs Shore,0
Ebenezer,0
Ebenezer,0
Ebenezer,0
Ebenezer,0
Eberts,0
Eccles Hill,0
Echo Bay,0
Echo Beach,0
Echo Place,0
Echo River,0
Eckville,0
Economy,0
Economy Point,0
Ecum Secum,0
Ecum Secum Bridge,0
Ecum Secum West,0
Edam,0
Edberg,0
Eddies Cove West,0
Eddontenajon,0
Eddystone,0
Eden,0
Eden,0
Eden Grove,0
Eden Grove,0
Edenhurst,0
Eden Lake,0
Eden Mills,0
Edenvale,0
Edenwold,0
Edgar,0
Edgars,0
Edge Hill,0
Edgerton,0
Edgetts Landing,0
Edgewater Beach,0
Edgewood,0
Edgewood,0
Edgewood Park,0
Edgeworth,0
Edmison Heights,0
Edson,7975
Edville,0
Edwards,0
Edwardsville,0
Edys Mills,0
Edzo,0
Eel Ground,0
Eel River Lake,0
Effingham,0
Egan Creek,0
Egan-Sud,0
Eganville,1149
Egbert,0
Egerton,0
Egerton,0
Egmont,0
Egremont,0
Egypt,0
Egypt Road,0
Eight Island Lake,0
Eight Mile Point,0
Ekfrid,0
Elba,0
Elbow,0
Elcho,0
Elco Beach,0
Elder,0
Elderbank,0
Elder Mills,0
Eldon,0
Eldorado,0
Eldorado Park,0
Electric,0
Elford,0
Elfrida,0
Elfros,0
Elgin,0
Elgin,0
Elgin,0
Elgin,0
Elginfield,0
Elgin Mills,0
Elimere Point,0
Elimville,0
Elizabeth Bay,0
Elizabeth Gardens,0
Elizabeth Park,0
Elizabethville,0
Elkford,2585
Elkhorn,0
Elk Lake,0
Elko,0
Elk Point,1514
Ellengowan,0
Ellenvale,0
Ellershouse,0
Ellerslie-Bideford,0
Ellesmere,0
Elliot Lake,12508
Elliotts Corners,0
Ellison,3094
Elliston,0
Ellisville,0
Elm,0
Elma,0
Elma,0
Elmbrook,0
Elm Brook,0
Elm Creek,0
Elmdale,0
Elmfield,0
Elmgrove,0
Elmgrove,0
Elmhedge,0
Elm Hill,0
Elmhurst,0
Elmira,10790
Elm Park,0
Elmsdale,0
Elmside,0
Elmstead,0
Elmsvale,0
Elmsville,0
Elmtree,0
Elm Tree,0
Elmvale,2314
Elmvale Acres,0
Elmview,0
Elmwood,0
Elmwood,0
Elmwood Estates,0
Elnora,0
Eloida,0
Elora,7800
Elphin,0
Elphinstone,0
Elphinstone,0
Elrose,0
Elsa,0
Elsas,0
Elsinore,0
Elstow,0
Elzevir,0
Embree,0
Embro,0
Emerald,0
Emerald,0
Emerson,0
Emerson,0
Emery,0
Emma Lake,0
Emo,0
Empey Hill,0
Empire Corners,0
Empress,0
Emsdale,0
Enchant,0
Endako,0
Endeavour,0
Enderby,2964
Enfield,0
Enfield,0
Engen,0
Englee,0
Englefeld,0
Englehart,1479
Englewood,0
English Harbour East,0
English Line,0
English River,0
English Settlement,0
Englishtown,0
Ennisclare Park,0
Enniskillen,0
Ennismore,0
Ennotville,0
Enterprise,0
Enterprise,0
Entrance,0
Entrelacs,0
Entremonts,0
Entwistle,389
Environ,0
Epping,0
Epworth and Great Salmonier,0
Epworth Park,0
Eramosa,0
Erbs Cove,0
Erb Settlement,0
Erickson,0
Erickson,0
Erie,0
Erieau,0
Erie Beach,0
Erie Curve,0
Erie Rest,0
Erie View,0
Eriksdale,0
Erin,11981
Erin,0
Erin,0
Erindale,0
Erindale Woodlands,0
Erinferry,0
Eringate,0
Erin Mills,0
Erin Ridge,0
Erinsville,0
Erinville,0
Erin Woods,0
Ernfold,0
Errettsville,0
Errington,0
Errol,0
Escott,0
Esk,0
Eskasoni,0
Eskbank,0
Esler,0
Esmonde,0
Espanola,4682
Esquimalt,17655
Baxter,0
Essex,7446
Essex,0
Essondale,0
Essonville,0
Estaire,0
Esterhazy,2194
Estevan,11258
Estlin,0
Eston,979
Estuary,0
Ethelbert,0
Ethel Park,0
Ethelton,0
Etobicoke,365000
Eton Court,0
Etonia,0
Eton-Rugby,0
Etters Beach,0
Etter Settlement,0
Ettyville,0
Etwell,0
Etzikom,0
Eugenia,0
Eureka,0
Eureka,0
Eustis,0
Évain,0
Evanston,0
Evansville,0
Evelyn,0
Evelyn,0
Everard,0
Eversley,0
Evesham,0
Ewan,0
Exeter,0
Exhibition,0
Exmoor,0
Expanse,0
Exstew,0
Extension,0
Eyebrow,0
Eyre Corners,0
Fabre,0
Fabre-Station,0
Fabyan,0
Facer,0
Factorydale,0
Factory Point,0
Fadden Corner,0
Fairbairn Meadows,0
Fairbank,0
Fairbridge,0
Faircrest,0
Fairfax,0
Fairfax,0
Fairfield,0
Fairfield,0
Fairfield East,0
Fairfield Heights,0
Fairfield Plain,0
Fairford,0
Fairford Reserve,0
Fairground,0
Fairhaven,0
Fairhaven,0
Fairhaven,0
Fairholme,0
Fairholme Park,0
Fairlight,0
Fairmont,0
Fairmont,0
Fairmont Hot Springs,0
Fairmount,0
Fairmount,0
Fairmount,0
Fairmount,0
Fairplay,0
Fairport,0
Fairport Beach,0
Fairvale,0
Fair Valley,0
Fairview,0
Fairview,0
Fairview,0
Fairview,0
Fairview,0
Fairview,0
Fairview,0
Fairview,0
Fairview,2998
Fairview,0
Fair View,0
Fairview Island,0
Fairview Knoll,0
Fairville Plateau,0
Falconbridge,0
Falconbridge,0
Falgarwood,0
Falher,1166
Falkenburg Station,0
Falkland,0
Falkland,878
Falkland Ridge,0
Fallbrook,0
Fallis,0
Fallowfield,0
Fall River,11526
Fall River West,0
Falls View,0
Falmouth,0
False Bay,0
Falun,0
Fanny Bay,0
Fanshawe,0
Faraday,0
Farewell,0
Farlain Lake,0
Farley,0
Farleys Corners,0
Farlinger,0
Farmborough,0
Farmington,0
Farmington,0
Farmington,0
Farm Point,0
Farmville,0
Farnam's Corner,0
Farnham,8330
Farnham,0
Farnham Centre,0
Faro,0
Farquhar,0
Farrell Corners,0
Farrellton,0
Farrington,0
Fassett,0
Fassifern,0
Fatima,0
Fauquier,0
Fauquier,170
Fauxburg,0
Fawcett,0
Fawcett Hill,0
Fawn Bay,0
Fee's Landing,0
Fee Spur,0
Feir Mill,0
Felton,0
Feltzen South,0
Fenaghvale,0
Fenella,0
Fenelon Falls,1915
Fennell,0
Fenton,0
Fenwick,0
Fenwood,0
Fenwood Gardens,0
Fergus Hill Estate,0
Ferguslea,0
Ferguson Corners,0
Fergusons Beach,0
Fergusons Cove,0
Fergusons Falls,0
Fergusons Lake,0
Fergusonvale,0
Ferintosh,0
Ferland,0
Ferland,0
Ferland,0
Ferme-Joseph,0
Ferme-Lefebvre,0
Ferme-Limbour,0
Ferme-Neuve,2115
Ferme-Rouge,0
Fermeuse,0
Fermont,2966
Fermoy,0
Fernbank,0
Ferndale,0
Ferndale,0
Ferndale,0
Ferndale,0
Ferndell,0
Fern Glen,0
Fernhill,0
Fernie,5249
Fernlee,0
Fernleigh,0
Fernleigh,0
Fernmount,0
Fern Ridge,0
Fernwood,0
Feronia,0
Ferryland,0
Fertile,0
Fesserton,0
Festubert,0
Feudal,0
Ficko,0
Fiedmont,0
Field,0
Field,169
Fielding,0
Fielding,0
Fieldville,0
Fife,0
Fife Lake,0
Fife's Bay,0
Fifth Meridian,0
Filey Beach,0
Fillmore,0
Finch,0
Findlater,0
Fingal,0
Fingerboard,0
Finland,0
Finmoore,0
Finntown,0
Fire River,0
Fir Mountain,0
First Peninsula,0
First South,0
Firvale,0
Fisher,0
Fisher Branch,0
Fisher Glen,0
Fisher Heights,0
Fishermans Harbour,0
Fisher Mills,0
Fishers Glen,0
Fisher's Point,0
Fisherville,0
Fiskes Corners,0
Fitch Bay,0
Fitzgerald,0
Fitzpatrick,0
Fitzpatrick,0
Five Fathom Hole,0
Five Houses,0
Five Houses,0
Five Island Lake,0
Five Islands,0
Five Mile Plains,0
Five Mile River,0
Five Points,0
Flake,0
Flamboro Centre,0
Flamborough,0
Flanders,0
Flanders Heights,0
Flannigan Corners,0
Flat Bay,0
Flatbush,0
Flatrock,0
Flatrock,0
Flaxcombe,0
Fleet,0
Fleet Settlement,0
Fleetwood,0
Fleetwood,65565
Fleming,0
Fleming,0
Flesherton,0
Fletcher,0
Fletchers Lake,0
Fleur de Lys,0
Flin Flon,5865
Flint,0
Flinton Corner,0
Floods,0
Flood's Landing,0
Floradale,0
Florence,0
Florida,0
Florida,0
Flower's Cove,0
Flower Station,0
Flume Ridge,0
Flynns Turn,0
Foam Lake,1138
Fogo,0
Foldens,0
Foleyet,165
Folger,0
Folly Lake,0
Folly Mountain,0
Fonehill,0
Fontaine,0
Fontainebleau,0
Fonthill,0
Foot Cape,0
Foot's Bay,0
Forbes,0
Forbes Point,0
Ford Bank,0
Fords Mills,0
Fordview,0
Fordyce,0
Fordyce Corners,0
Foreman,0
Foremost,0
Forest,0
Forest,0
Forestburg,0
Forest City,0
Forest Estates,0
Forest Glade,0
Forest Glen,0
Forest Glen,0
Forest Grove,0
Forest Harbour,0
Forest Heights,0
Forest Hill,0
Forest Hill,0
Forest Hill,0
Forest Hills,0
Forest Hills,0
Forest Home,0
Forest Home,0
Forest Lawn,0
Forest Lea,0
Forest Mills,0
Forest Park,0
Forestview,0
Forestville,0
Forfar,0
Forgan,0
Forget,0
Forget,0
Forks Baddeck,0
Forks of the Credit,0
Forks Road,0
Forsythe,0
Fort Babine,0
Fort-Coulonge,2911
Fort Creek,0
Forteau,377
Fort Ellis,0
Fort Erie,30710
Fort Erie Beach,0
Fort Erie North,0
Fortescue,0
Fort Frances,7739
Fort George,0
Fort Good Hope,516
Fort Henry Heights,0
Fort Hope,0
Forthton,0
Fortierville,0
Forties,0
Fort Kent,0
Fort La Cloche,0
Fort Lawrence,0
Fort Liard,530
Fort MacKay,0
Fort Macleod,3060
Fort McMurray,66573
Fort McPherson,700
Fort Nelson,2611
Fort Providence,0
Fort Qu'Appelle,0
Fort Resolution,0
Fort Rupert,0
Fort San,0
Fort Saskatchewan,14957
Fort Simpson,1100
Fort Smith,2542
Fort St. John,20155
Fortune,0
Fortune Harbour,0
Fort William,0
Forward,0
Fossmill,0
Fosston,0
Foster,0
Foster Farm,0
Fosterville,0
Fountain Beach,0
Fountain Road,0
Fourchu,0
Four Mile Brook,0
Fourth Chute,0
Fourth Line,0
Fowlers Corners,0
Fox Brook,0
Fox Corners,0
Fox Cove-Mortier,0
Fox Creek,0
Fox Creek,2457
Foxey,0
Foxford,0
Fox Harbour,0
Fox Harbour,0
Fox Hill,0
Fox Island Main,0
Fox Lake,0
Foxmead,0
Fox Point,0
Fox Point,0
Fox River,0
Fox Roost,0
Fox Roost-Margaree,327
Foxtrap,0
Fox Valley,0
Foxville,0
Foymount,0
Fralick's Beach,0
Framboise,0
Framboise Intervale,0
Franceville,0
Francis,0
Francis Harbour,0
Francoeurville,0
Frankford,0
Franklin,1688
Franklin,0
Franklin Beach,0
Franklin Centre,0
Franklins Corners,0
Frankville,0
Franquelin,324
Franz,0
Fraserburg,0
Fraserdale,0
Fraser Lake,965
Fraser Mills,0
Frasers Corners,0
Fraser Settlement,0
Frasers Grant,0
Frasers Mills,0
Frasers Mountain,0
Frasertown,0
Fraserville,0
Fraserville,0
Frater,0
Fraxa Junction,0
Fraxville,0
Frayn's Landing,0
Frederickhouse,0
Frederickton,0
Fredericton Junction,0
Fredericton Road,0
Freeland,0
Freeman,0
Freeman Corners,0
Freeport,0
Frelighsburg,0
Fremo Corners,0
French Bay,0
French Cove,0
French Creek,1024
French Hill,0
French Lake,0
French Line,0
Frenchman's Cove,0
Frenchmans Road,0
French Portage,0
French River,0
French River,0
French River,0
French River,0
French River,0
French River,0
French Road,0
French Settlement,0
Frenchvale,0
French Village,0
French Village,0
French Village,0
Freshwater,0
Freshwater,0
Fricker,0
Fridays,0
Friendly Corners,0
Froatburn,0
Frobisher,0
Froggetts Corners,0
Frog Lake,0
Frogmore,0
Frome,0
Front Centre,0
Frontenac,0
Frontier,0
Front Lake,0
Frood Mine,0
Frost Village,0
Frosty Hollow,0
Froude,0
Fruitvale,3491
Fryatt,0
Frys,0
Fugèreville,0
Fulda,0
Fulford,0
Fulford Harbour,0
Fullarton,0
Fuller,0
Fullerton Corner,0
Fulton,0
Fultons,0
Fundy Heights,0
Furnace Falls,0
Furness,0
Furry Creek,270
Fusilier,0
Gabarus,0
Gabarus Lake,0
Gabriel-Langevin,0
Gabriola,0
Gadds Harbour,0
Gadsby,0
Gads Hill,0
Gaetz Brook,0
Gagetown,0
Gagnon,0
Gagnon-Siding,0
Gainsborough,0
Galahad,0
Galbraith,0
Galena Hill,0
Galesburg,0
Galeton,0
Galetta,0
Gallagher Ridge,0
Gallants,0
Gallant Settlement,0
Gallichan,0
Gallingertown,0
Gallivan,0
Galloway,0
Galloway,0
Galt,0
Galts Corner,0
Gambo,1978
Gamebridge Beach,0
Gameland,0
Gananoque,5458
Gander,11688
Gander Bay North,853
Ganges,6000
Gang Ranch,0
Gannon Beach,0
Gannon Road,0
Gannon Village,0
Garafraxa Woods,0
Garden Cove,0
Garden Creek,0
Garden Lots,0
Garden of Eden,0
Garden of Eden,0
Garden River,0
Garden Road,0
Gardenton,0
Garden Village,0
Gardenville,0
Gardiner,0
Gardiner Heights,0
Gardiner Mines,0
Gardiner Park,0
Gardner Creek,0
Gardners Mills,0
Gargantua,0
Garibaldi Estates,0
Garland,0
Garlands Crossing,0
Garners Corners,0
Garnet,0
Garnett Settlement,0
Garnet Valley,0
Garnier,0
Garnish,0
Garretton,0
Garrick Corners,0
Garryowen,0
Garson,0
Garson,647
Gaskiers,0
Gaskiers-Point La Haye,0
Gasline,0
Gaspé,14819
Gaspereau,0
Gaspereau Forks,0
Gaspereau Mountain,0
Gateway,0
Gateway,0
Gatineau,242124
Gaud Corners,0
Gaulin,0
Gaultois,0
Gautreau Village,0
Gavelton,0
Gays River,0
Gaytons,0
Geary,0
Gelert,0
Gendron,0
Geneva Park,0
Genier,0
Gentilly,0
Geoffroy,0
Georgefield,0
Georges Brook,0
Georges River,0
Georgetown,0
Georgetown,0
Georgeville,0
Georgeville,0
Georgina,0
Georgina Beach,0
Gerald,0
Geraldton,0
Germania,0
Germanicus,0
German Landing,0
German Mills,0
German Settlement,0
Germantown,0
Gerrard,0
Gerrow's Beach,0
Gesto,0
Ghost Lake,0
Ghost River,0
Giants Lake,0
Gibbon,0
Gibbons,2790
Gibbs,0
Gibraltar,0
Gibson,0
Gibson Creek,0
Gibsons,6821
Gift Lake,0
Gilbert Mills,0
Gilbert Plains,0
Gilberts Corner,0
Gilberts Cove,0
Gilchrist,0
Gilchrist Bay,0
Gildale,0
Gilford,0
Gilford Beach,0
Gill,0
Gillam,1007
Gillams,0
Gillies,0
Gillies Bay,0
Gillies Corners,0
Gillies Hill,0
Gillies Lake,0
Gillis Cove,0
Gillisdale,0
Gillis Lake,0
Gillis Point,0
Gillis Point East,0
Gillson's Point,0
Gilman Corner,0
Gilmans Corner,0
Gilmour,0
Gilpin,0
Gimli,2246
Gingolx,0
Girardville,0
Girouardville,0
Girouxville,0
Girvin,15
Gitwinksihlkw,0
Glabar Park,0
Glace Bay,17556
Albert Canyon,0
Gladeside,0
Gladmar,0
Gladmer,0
Gladstone,0
Gladstone,0
Glamis,0
Glamorgan,0
Glandine,0
Glanford Station,0
Glanmire,0
Glanworth,0
Glascott,0
Glasgow,0
Glasgow,0
Glasgow,0
Glaslyn,0
Glasnevin,0
Glassburn,0
Glastonbury,0
Glaude,0
Gleason Road,0
Glen,0
Glen Agar,0
Glen Alda,0
Glen Almond,0
Glen Alpine,0
Glen Andrew,0
Glenannan,0
Glenarm,0
Glenavon,0
Glenbain,0
Glenbank,0
Glen Bard,0
Glenboro,0
Glenbrook,0
Glen Buell,0
Glenburn,0
Glenburnie,0
Glenburnie,0
Glenburnie-Birchy Head-Shoal Brook,0
Glenbush,0
Glencairn,0
Glen Cairn,0
Glen Cairn,0
Glencairn Village,0
Glen Cairn Woods,0
Glencoe,0
Glencoe,0
Glencoe,2126
Glencoe,0
Glencoe Station,0
Glen Cross,0
Glendale,0
Glendale,0
Glendale,0
Glendale Beach,0
Glendon,0
Glendower,0
Gleneagle,0
Glen Echo,0
Gleneden,0
Glen Eden,0
Glen Elbe,0
Glenelg,0
Glenelg Centre,0
Glenelm Park,0
Glenevis,0
Glen Ewen,0
Glen Falloch,0
Glen Falls,0
Glenfield,0
Glengarry,0
Glengarry,0
Glengarry Station,0
Glen Harbour,0
Glen Haven,0
Glenholme,0
Glenkeen,0
Glen Kerr,0
Glenlee,0
Glen Leven,0
Glen Major,0
Glen Margaret,0
Glenmerry,0
Glen Meyer,0
Glen Miller,0
Glen Moir,0
Glenmont,0
Glenmore,0
Glen Morris,0
Glenmount,0
Glen Nevis,0
Glen Norman,0
Glen Oak,0
Glenora,0
Glenora Falls,0
Glen Orchard,0
Glenorchy,0
Glen Park,0
Glenrest Beach,0
Glenridge,0
Glenridge,0
Glen Road,0
Glen Robertson,189
Glen Ross,0
Glenroy,0
Glenroy,0
Glenshee,0
Glenside,0
Glen Smail,0
Glen Stewart,0
Glen Sutton,0
Glen Tay,0
Glen Tosh,0
Glentworth,0
Glenvale,0
Glenvale,0
Glenvale,0
Glen Valley,0
Glenview,0
Glenview Heights,0
Glenville,0
Glenville,0
Glenville,0
Glen Vowell,0
Glenwater,0
Glenway Village,0
Glen Williams,0
Glenwood,739
Glenwood,0
Glenwood,0
Glenwood,0
Glenwood,0
Glenwood,0
Glenwood,0
Glenwood Beach,0
Glenwood Heights,0
Glenwood Park,0
Glidden,0
Glines Corner,0
Gloria Village,0
Gloucester,0
Gloucester Glen,0
Glovertown,0
Gobles,0
Godbout,298
Godefroy,1410
Goderich,7628
Godfrey,0
Godolphin,0
Goffs,0
Gogama,0
Go Home,0
Goldboro,0
Gold Bridge,0
Gold Centre,0
Golden,4038
Golden Beach,0
Golden City,0
Golden Days,0
Golden Hill,0
Golden Lake,0
Golden Prairie,0
Goldenville,0
Goldfield,0
Goldpines,0
Gold River,0
Gold River,1246
Gold Rock,0
Goldsmith,0
Goldstone,0
Goldwin,0
Golspie,0
Gondola Point,0
Gooderham,0
Goodeve,0
Goodlands,0
Goodlow,0
Goodsoil,0
Goodstown,0
Goodwater,0
Goodwood,0
Goodwood,663
Gooseberry Cove,0
Goose Cove,0
Goose Cove,0
Goose Cove,0
Goose Cove East,0
Gordon Bay,0
Gordon Corner,0
Gordon Lake,0
Gordon Summit,0
Gordonville,0
Gore,0
Gore,0
Gore Bay,808
Gores Landing,0
Gorewood Acres,0
Goring,0
Gorlitz,0
Gormanville,0
Gormley,0
Goshen,0
Goshen,0
Goshen,0
Goshen,0
Goshen,0
Gosport,0
Gosport,0
Gosselin-Mills,0
Gotham,0
Goudalie,0
Goudreau,0
Goulais Bay,0
Goulais River,0
Gould,0
Goulds,4418
Gouldtown,0
Gourd,0
Govan,0
Govenlock,0
Government Road,0
Gowganda,0
Gowland Mountain,0
Gracieville,0
Grafton,0
Grafton,0
Graham,0
Graham Corner,0
Graham Hill,0
Graham Park,0
Grahamsville,0
Grainfield,0
Gramont,0
Granby,66222
Granby-Ouest,0
Grand Bank,4623
Grand Bay-Westfield,4967
Grand Beach,0
Grand Beach,0
Grand Bend,0
Grand Bruit,0
Grand-Calumet,0
Grand Coulee,0
Grand Desert,0
Grande-Aldouane,0
Grande Anse,0
Grande-Anse,0
Grande Cache,3276
Grande-Digue,2261
Grande Greve,0
Grande-Ligne,0
Grande Pointe,0
Grande Prairie,41462
Grandes-Piles,0
Grand Falls-Windsor,12076
Grand-Fonds,0
Grand Forks,4049
Grand Harbour,0
Grand Haven,735
Grandique Ferry,0
Grand Lake Road,0
Grand Lake Station,0
Grand Le Pierre,0
Grand Manan,0
Grand Mira North,0
Grand Mira South,0
Grand Narrows,0
Grandora,0
Grand Rapids,0
Grand Rapids,0
Grand River,0
Grand River Falls,0
Grand-Ruisseau,0
Grand-Ruisseau,0
Grand-Saint-Esprit,0
Greater Sudbury,166004
Grand Tracadie,0
Grand Valley,0
Grandview,0
Grandview,0
Grandview,0
Grandview,0
Grand View,0
Grandview Beach,0
Grandview Bench,0
Grandview Gardens,0
Granger,0
Grangeville,0
Granisle,337
Granite,0
Granite Hill,0
Graniteville,0
Graniteville,0
Grantham,0
Grantham,0
Granthams Landing,0
Grantley,0
Granton,0
Grants Corners,0
Grants Settlement,0
Granum,0
Granville Beach,0
Granville Centre,0
Granville Ferry,0
Graphite,0
Grasshill,0
Grassie,0
Grassland,0
Grassmere,0
Grasswood,0
Grassy Narrow,0
Grassy Narrows,0
Grates Cove,0
Gravelbourg,1109
Gravel Hill,0
Gravelle,0
Gravenhurst,12312
Gray Creek,0
Gray Rapids,0
Grays,0
Grays Bay,0
Gray's Beach,0
Grays Mills,0
Grayson,0
Gray Valley,0
Graywood,0
Great Barasway,0
Great Brehat,0
Great Codroy,0
Great Desert,0
Greater Napanee,15892
Great Falls,0
Great Harbour Deep,0
Great Hill,0
Great Village,0
Greece's Point,0
Greely,0
Green Acres,0
Green Acres,0
Green Acres,0
Greenan,0
Greenbank,554
Green Bay,0
Green Bay,0
Greenboro,0
Green Court,0
Greendale,0
Greendale,0
Greenfeld,0
Greenfield,0
Greenfield,0
Greenfield,0
Greenfield,0
Greenfield,0
Greenfield,0
Greenfield Park,0
Greenhead Road,0
Greenhill,0
Greenhill,0
Greenhill,0
Greenhill,0
Green Lake,0
Green Lake,0
Greenland,0
Greenlands,0
Green Lane,0
Greenlay,0
Greenleys Corners,0
Greenly's Corners,0
Green Mountain,0
Greenmount-Montrose,0
Greenock,0
Greenough,0
Green Park,0
Greenpoint,0
Greens Brook,0
Greens Corner,0
Greens Corners,0
Green's Harbour,642
Greenside Acres,0
Greens Point,0
Greenspond,0
Greenstone,4636
Greenstreet,0
Greensville,0
Greenview,0
Greenview,0
Greenville,0
Greenville Station,0
Greenway,0
Greenway,0
Greenwich,0
Greenwich Hill,0
Greenwold,0
Greenwood,0
Greenwood,5369
Greenwood,0
Greenwood,0
Greenwood,0
Greenwood,702
Greenwood Heights,0
Greer Mount,0
Gregory,0
Greig Lake,0
Grenadier Island,0
Grenfell,0
Grenfell,997
Grenfell Glen,0
Grenville,0
Grenville Bay,0
Grenville Park,0
Grenville-sur-la-Rouge,0
Gretna,0
Gretna,0
Grey Islands Harbour,0
Greystone Heights,0
Griersville,0
Grieves Corners,0
Griffin,0
Griffith,0
Grimmonds Beach,0
Grimsby,27314
Grimsby Beach,0
Grimsby Centre,0
Grimshaw,2560
Grimsthorpe,0
Grimston,0
Grindrod,0
Griswold,0
Grondines-Est,0
Grondines-Ouest,0
Grondines-Station,0
Grono Road,0
Gros Cap,0
Gros-Cap,0
Gros-Mécatina,0
Gros-Morne,0
Grosse Isle,0
Grosses Coques,0
Grosvenor,0
Grosvenor Park,0
Grouard,0
Groundbirch,0
Grove Creek,0
Grove Hamlet,0
Grove Hill,0
Grove Park,0
Grovesend,0
Groves Point,0
Groveton,0
Grub Road,0
Gruenthal,0
Grunthal,1680
Guaytown,0
Guelph,143740
Guerin,0
Guernsey,0
Guigues,0
Guilds,0
Guildwood Estates,0
Guinea,0
Guiney,0
Gull Creek,0
Gull Island,0
Gullivers Cove,0
Gull Lake,949
Gull Lake,226
Gull Rock,0
Gunning Cove,0
Gunningsville,0
Gunter,0
Gustin Grove,0
Guthrie,0
Guy,0
Guyenne,0
Guysborough,0
Guysborough Intervale,0
Gypsum Mines,0
Gypsumville,0
Habay,0
Habermehl,0
Habitant,0
Hacketts Cove,0
Haddo,0
Haddon Hill,0
Hadleyville,0
Hafford,414
Hagar,0
Hagensborg,0
Hagerman's Corners,0
Hagersville,0
Haggertys Cove,0
Hague,0
Hagwilget,0
Haig,0
Haileybury,0
Haines Junction,613
Haines Lake,0
Hainsville,0
Halbrite,0
Halcomb,0
Haldane Hill,0
Haley Station,0
Half Island Cove,0
Halfmoon Bay,2800
Half Moon Bay,0
Halfway,0
Halfway Cove,0
Halfway House Corner,0
Halfway River,0
Haliburton,0
Halkirk,0
Hall,0
Hall,0
Hallboro,0
Hallebourg,0
Hallecks,0
Hallerton,0
Hall Glen,0
Hall Landing,0
Hallnor,0
Hallonquist,0
Halloway,0
Hallowell,0
Halls Harbour,0
Halls Hill,0
Halls Lake,0
Halls Mills,0
Halpenny,0
Halstead Beach,0
Halsteads Bay,0
Halston,0
Halton Hills,62951
Haltonville,0
Halverson,0
Halvorgate,0
Hamer Bay,0
Hamilton,569353
Hamilton Beach,0
Hamilton Corner,0
Hamiltonsfield,0
Hamiota,0
Hamlet,0
Hammertown,0
Hammonds Plains,0
Hammondvale,0
Hammtown,0
Hampden,0
Hampden,0
Hampelsfield,0
Hampshire,0
Hampshire Mills,0
Hampstead,6996
Hampstead,0
Hampton,0
Hampton,3436
Hampton Heights,0
Hampton Station,0
Hamton,0
Hamtown Corner,0
Hanbury,0
Handel,0
Handsworth,0
Haneytown,0
Hanford Brook,0
Hanlan,0
Hanley,0
Hanna,3140
Hannamville,0
Hanover,7688
Hansford,0
Hant's Harbour,0
Hantsport,1253
Happy Adventure,0
Happy Hollow,0
Happyland,0
Happy Valley,0
Happy Valley,0
Happy Valley-Goose Bay,7572
Harbour Breton,1898
Harbour Centre,0
Harbour Grace,0
Harbour Main,0
Harbour Main-Chapel Cove-Lakeview,0
Harbourview,0
Harbourview,0
Harbourville,0
Harburn,0
Harcourt,0
Harcourt,0
Hardieville,0
Harding,0
Hardings Point,0
Hardingville,0
Hardisty,0
Hardwood Hill,0
Hardwood Hill,0
Hardwood Lake,0
Hardwood Lands,0
Hardwood Ridge,0
Hardy,0
Hare Bay,968
Harewood,0
Hargrave,0
Harkaway,0
Harlem,0
Harley,0
Harley Road,0
Harlock,0
Harlow,0
Harlowe,0
Harmony,0
Harmony,0
Harmony,0
Harmony,0
Harmony,0
Harmony,0
Harmony Beach,0
Harmony Hall II,0
Harmony Mills,0
Harmony Park,0
Harmony Road,0
Harney's Corner,0
Harpellville,0
Harper,0
Harper Corners,0
Harper Settlement,0
Harptree,0
Harpurhey,0
Harriets Corners,0
Harrietsfield,0
Harrietsville,0
Harrigan Cove,0
Harrington,0
Harrington,0
Harrington Harbour,0
Harris,0
Harris,0
Harris Brook Settlement,0
Harrisburg,0
Harris Hill,0
Harris Island,0
Harris Lake,0
Harrison Hot Springs,1905
Harrisons Corners,0
Harrison Settlement,0
Harrison Settlement,0
Harriston,0
Harriston,1797
Harrisville,0
Harrogate,0
Harrop,0
Harrow,0
Harstone,0
Hart,0
Hartfell,0
Hartford,0
Hartford,0
Hart Highlands,0
Hartington,0
Hartin Settlement,0
Hartley,0
Hartley Bay,0
Hartley Bay,0
Hartleyville,0
Hartlin Settlement,0
Hartney,0
Hartsmere,0
Hartville,0
Harty,0
Harvey,0
Harvey,0
Harvey Bank,0
Harvey Station,0
Harwood,0
Harwood Plains,0
Hasler Flat,0
Hassett,0
Hastings,0
Hastings,0
Hastings,0
Hatchet Lake,0
Hatchley,0
Hatfield,0
Hatfield Point,0
Hatherton,0
Hatley,0
Hatley Centre,0
Hatton,0
